Principal Component 1,Principal Component 2
0.006868130955018131,-0.012533349472740058
0.0071935966472924905,-0.014287153367602888
0.008868638807269184,-0.018173583513835547
0.008820313496722203,-0.02191321912518836
0.009127111559791682,-0.03847962785325816
0.007320432771086641,-0.01425436133887714
0.007945384805624782,-0.013628252588328666
0.00925030341745204,-0.022700093786112666
0.002027932429609995,-0.011455473748923686
0.003066866176667251,-0.017962438308977556
-0.17496695802064885,0.015241697779331508
0.0028768477778625,-0.0056441159788959425
0.004294673163512781,-0.031107955192414785
0.004735027926271523,-0.02309886343504636
0.00195761709829362,-0.0070538753378033055
-0.0019320967457855383,-0.010525942989981314
0.006042973486408051,-4.466491335091702E-4
0.018871378223593287,0.08114526455893421
0.012345361539647519,0.025937258086839863
0.00790603249053639,0.0047545781204081155
0.006129297573677627,0.001523745420343738
0.00948803850010016,0.011668774552234331
0.011060644097109175,0.024664892944854085
0.020702451822884514,0.09832874370854952
